symbol,name,last,change,changePct
MT,Arcelor Mittal NY Registry Shares NEW,32.04,1.91,6.339
MTB,M&T Bank Corporation Common Stock,181.41,6.40,3.657
MTD,Mettler-Toledo International Inc. Common Stock,1358.84,39.39,2.985
MTN,Vail Resorts Inc. Common Stock,267.84,18.68,7.497
MUFG,Mitsubishi UFJ Financial Group Inc. Common Stock,6.40,0.14,2.236
NEE,NextEra Energy Inc. Common Stock,82.51,0.53,0.646
NEM,Newmont Corporation,72.61,-0.76,-1.036
NET,Cloudflare Inc. Class A Common Stock,95.16,9.22,10.728
NGG,National Grid Transco PLC National Grid PLC (NEW) American Depositary Shares,73.98,-1.62,-2.143
NI,NiSource Inc Common Stock,30.09,0.24,0.804
NIO,NIO Inc. American depositary shares each  representing one Class A ordinary share,18.75,3.82,25.586
NKE,Nike Inc. Common Stock,125.19,5.79,4.849
NLY,Annaly Capital Management Inc Common Stock,7.08,-0.01,-0.141
NMR,Nomura Holdings Inc ADR American Depositary Shares,4.40,0.08,1.852
NOC,Northrop Grumman Corporation Common Stock,424.43,-23.39,-5.223
NOK,Nokia Corporation Sponsored American Depositary Shares,5.26,0.16,3.137
NOW,ServiceNow Inc. Common Stock,547.40,33.18,6.452
NSC,Norfolk Southern Corporation Common Stock,273.32,5.26,1.962
NTR,Nutrien Ltd. Common Shares,93.82,-3.61,-3.705
NU,Nu Holdings Ltd. Class A Ordinary Shares,6.88,0.90,15.05
NUE,Nucor Corporation Common Stock,135.11,-0.41,-0.303
NVR,NVR Inc. Common Stock,4854.43,40.82,0.848
NVS,Novartis AG Common Stock,84.64,-0.09,-0.106
NWG,NatWest Group plc American Depositary Shares,5.84,0.17,2.998
O,Realty Income Corporation Common Stock,65.60,0.48,0.737
OKE,ONEOK Inc. Common Stock,64.66,0.40,0.622
OMC,Omnicom Group Inc. Common Stock,84.06,3.33,4.125
ORAN,Orange,11.68,-0.01,-0.086
OTIS,Otis Worldwide Corporation Common Stock ,75.50,1.85,2.512
OVV,Ovintiv Inc. (DE),43.75,0.63,1.461
OXY,Occidental Petroleum Corporation Common Stock,52.99,-1.54,-2.824
PATH,UiPath Inc. Class A Common Stock,27.82,2.93,11.772
